Region,pH,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Moisture_Level
Coastal,5.475740226293411,0.632332073314358,34.27702540460463,75.89431688480579,5.528746115955069
Arid,5.106704882100673,0.26737537781996445,37.66300115433267,90.1628246350392,25.11135060513988
Temperate,5.9847580104972256,1.2080902561474278,40.38275492920585,16.91418557281205,13.00185541289244
Mountain,6.906729413385518,1.0862877400365123,42.672076902020315,80.0376722593056,17.25418623359795
Temperate,7.6934791363746085,1.1003502452903875,8.841187451376555,94.00699493353379,18.023017011006104
Temperate,6.1082713486047435,0.9113097651531835,18.22122185072444,52.847983757611054,36.351355758188845
Temperate,5.0597839468411845,0.6746184174214235,29.58431395232126,58.68479961847202,20.522355725261434
Tropical,8.038547956565923,1.3195620344004033,6.807967134245262,45.29360723398974,25.81314367558649
Mountain,6.030521934348745,1.1916491687419566,45.629455758079885,93.79969940984013,36.02440035036328
Coastal,6.366992878604471,0.1530025206373201,40.643679210735954,53.75225082434233,25.71503212950183
Temperate,5.691444739018963,0.9575250897423774,13.568794474245728,33.75804856120139,17.770369622476345
Temperate,6.552079032012934,0.724764496115045,40.63874082665181,57.41779007663509,20.622325801393487
Arid,7.044767624105157,0.5947226486753614,38.63963563182052,11.00042751957372,10.663185525448306
Mountain,7.461965315928481,0.6116548855101955,28.633798475067927,80.94280996811241,9.291674172261455
Arid,4.985338556044711,0.3638216862828765,8.427015613222668,55.856042566529794,12.81776759142647
Arid,8.380476193450779,0.43452211075089864,44.80538919033385,62.07388301753539,16.12589242233834
Temperate,6.296772450052551,0.671974422056828,39.10812145260622,92.54734963787483,27.653418767011402
Tropical,4.7598562340126875,0.4672968837180139,20.59564654878256,31.50857095119095,22.526463602970324
Arid,5.2326624288832315,0.918593806034469,8.26556528853817,28.6327832106297,27.728505936502426
Mountain,8.319740430094878,0.40623018396016775,6.316434165417071,40.9685398279085,37.431158009183406
Mountain,5.893477913625398,1.0347289206164323,11.364166585757294,19.92101152772618,17.07277065959854
Coastal,4.964845164032889,0.26019628597315037,24.42315823121038,62.979233436250375,28.205596086064578
Temperate,6.442282893643311,0.7195564208476893,27.980758081586306,68.86428456492625,7.734806127366926
Coastal,7.748299636050728,0.8666570838345333,8.013938545304548,53.620994490018674,13.541593850552545
Tropical,4.6351562868232365,1.4083473929624621,15.394403041159325,62.62343120933172,14.95481885553096
Tropical,6.640036953923692,1.0385891452961409,44.28226759446095,47.659366957220946,13.8681266815343
Coastal,8.44294653971764,0.5121596865148356,14.823961160388338,64.40973529058039,12.296827065540686
Tropical,5.723832813495204,0.6215518321151403,20.887652685094146,73.36093269334387,14.08797598951761
Temperate,5.131541934825732,1.3636845381859024,44.879174192719574,19.9255887257369,28.32238261775089
Arid,7.813841561727999,1.333408190032521,31.031895540122214,46.70359278300843,38.10103409146113
Arid,5.259808028453804,0.1627370652697683,27.4687633372531,95.33646929686365,14.871679639514237
Tropical,6.891646133985876,1.0405761408992804,18.10426161949767,81.44082182523763,10.576034740648701
Arid,5.360484697815124,0.9409952737329874,42.57804139221227,56.298872477450345,34.288704870891465
Mountain,7.816098407978476,0.7483619503190693,15.607703849001402,42.878165468795515,37.206324156087874
Mountain,5.687566050521934,0.43364779332295356,11.707767016415715,78.7201352079624,20.778869333625448
